Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Water resistance;Crystal;Dial;Bracelet color;Clasp;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews
Alpina;Quartz;Steel;Rubber;;New;Original box, original papers;Men's watch/Unisex;895.0;Item is in stock;Circular;759.88;30.0;Sapphire crystal;Black;Black;Buckle;20.0;36.0;0;0;1;15.0
Lip;;;;1973.0;Used (Good);No original box, no original papers;Men's watch/Unisex;701.0;Item is in stock;Circular;537.3325;;;;;;;;0;0;0;
Audemars Piguet;Automatic;Titanium;Titanium;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;39825.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Grey;;Fold clasp;2.0;48.0;0;1;1;4.0
Bulova;Automatic;;;1974.0;Used (Fair);No original box, no original papers;Men's watch/Unisex;385.0;Item is in stock;Rectangular;1443.0;;;Brown;;;;;0;0;0;
Philip Watch;Automatic;Yellow gold;Leather;;Like new & unworn;No original box, no original papers;Men's watch/Unisex;1718.0;Item is in stock;Circular;566.77;;;Champagne;Brown;;;;0;0;0;
Romain Jerome;Automatic;Steel;Rubber;2012.0;Used (Very good);Original box, original papers;Men's watch/Unisex;4294.0;Item is in stock;Circular;830.5300000000001;;;Black;Black;;;;0;0;0;
Swatch;Quartz;Plastic;Silicon;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;163.0;Item is in stock;Circular;867.0325;;;White;;;;;0;0;0;
A. Lange & Söhne;Manual winding;Rose gold;;2013.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;16900.0;Item is in stock;Circular;508.68;;Sapphire crystal;Silver;;Buckle;1391.0;490.0;1;1;1;992.0
Paul Picot;Automatic;Steel;Steel;1990.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;972.0;Item is in stock;Rectangular;;5.0;Mineral Glass;Black;Steel;Double-fold clasp;99.0;121.0;1;1;1;98.0
Eterna;Manual winding;Steel;Leather;1940.0;Used (Good);No original box, no original papers;Men's watch/Unisex;5348.0;Item is in stock;;;;;Black;;;318.0;99.0;1;1;1;222.0
Girard Perregaux;Automatic;Steel;Steel;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;13000.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Blue;Steel;Fold clasp;46.0;41.0;1;1;1;48.0
Sicura;Quartz;;Calf skin;1977.0;Like new & unworn;No original box, no original papers;Men's watch/Unisex;497.0;Item is in stock;Circular;525.7773000000001;;;Champagne;Brown;Buckle;2998.0;9673.0;1;1;1;2049.0
Zeppelin;Quartz;Steel;Leather;;New;Original box, original papers;Men's watch/Unisex;269.0;Item is in stock;Circular;659.7925;5.0;Mineral Glass;Grey;Brown;Buckle;2328.0;2505.0;0;1;1;1742.0
Casio;;Carbon;Rubber;;New;Original box, original papers;;269.0;Item is in stock;;;20.0;;;Orange;;1175.0;876.0;1;0;1;648.0
Formex;Automatic;Carbon;Textile;2024.0;New;Original box, original papers;Men's watch/Unisex;1999.0;Item needs to be procured;Rectangular;2107.0;10.0;Sapphire crystal;Grey;Black;Buckle;1072.0;1397.0;1;1;1;940.0
Longines;Quartz;Steel;Steel;;New;Original box, no original papers;Men's watch/Unisex;749.0;Item is in stock;Circular;537.3325;3.0;Sapphire crystal;Black;;Fold clasp;318.0;943.0;1;1;1;162.0
Sector;Quartz;Steel;Steel;2010.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;215.0;Item is in stock;Rectangular;1890.0;;Mineral Glass;Blue;Steel;;;;0;0;0;
Vostok;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;139.0;Item is in stock;Rectangular;1932.0;20.0;Glass;White;Steel;Fold clasp;804.0;176.0;1;0;1;551.0
Ingersoll;Automatic;Steel;Calf skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;351.0;Item is in stock;Circular;830.5300000000001;5.0;Mineral Glass;Gold;Black;Buckle;14626.0;5551.0;1;1;1;7424.0
Omega;Automatic;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;5000.0;Item is in stock;Circular;692.37;30.0;Sapphire crystal;Black;Black;Buckle;254.0;113.0;1;1;1;128.0
RSW;Automatic;Steel;Calf skin;2023.0;New;Original box, original papers;Men's watch/Unisex;8127.0;Item is in stock;;;3.0;Sapphire crystal;Blue;Black;Double-fold clasp;1.0;42.0;0;1;1;
Gallet;Manual winding;Steel;Textile;1940.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;995.0;Item is in stock;Rectangular;1116.0;;Plexiglass;White;Green;Buckle;117.0;47.0;1;0;1;102.0
Timex;Automatic;Steel;Silicon;2023.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;162.0;Item is in stock;Circular;628.0;;;Gold;Black;;;;0;0;0;
Formex;Automatic;Carbon;Textile;2024.0;New;Original box, original papers;Men's watch/Unisex;1783.0;Item is in stock;Rectangular;1902.3999999999999;10.0;Sapphire crystal;Blue;Black;Buckle;1072.0;1397.0;1;1;1;940.0
Movado;Quartz;Steel;Steel;2014.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;930.0;Item is in stock;Circular;628.0;;;Silver;Silver;;;;0;0;0;
Hamilton;Automatic;Steel;Leather;;Like new & unworn;Original box, no original papers;Men's watch/Unisex;950.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Grey;Grey;Fold clasp;34.0;12.0;0;0;1;24.0
Yema;Manual winding;Steel;Leather;1970.0;Used (Good);No original box, no original papers;Men's watch/Unisex;;Item is in stock;Circular;596.9925000000001;;Plexiglass;Black;Blue;Buckle;80.0;274.0;0;1;1;66.0
Mühle Glashütte;Automatic;Steel;Crocodile skin;2000.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;3781.0;Item is in stock;Rectangular;370.0;5.0;Sapphire crystal;Blue;Blue;Double-fold clasp;;;0;0;0;
Quinting;Quartz;Steel;Leather;2020.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;6198.0;Item is in stock;Circular;725.7325000000001;;;Skeletonized;Black;Fold clasp;282.0;841.0;1;0;1;221.0
Martin Braun;Automatic;;Rubber;2017.0;Used (Good);No original box, no original papers;Men's watch/Unisex;999.0;Item is in stock;;;;;;;;171.0;106.0;0;0;1;118.0
