Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Crystal;Dial;Bracelet color;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews;age;is_modern;price_log;seller_reputation_score;scope_score;price_anomaly_low;price_anomaly_high;seller_consistent
Alpina;Quartz;Steel;Rubber;2022.0;New;Original box, original papers;Men's watch/Unisex;895.0;Item is in stock;Circular;759.88;Sapphire crystal;Black;Black;20.0;36.0;0;0;1;15.0;4.0;1;6.79794041297493;0.3333333333333333;3;0;0;0
Lip;Automatic;Steel;Leather;1973.0;Used (Good);No original box, no original papers;Men's watch/Unisex;701.0;Item is in stock;Circular;537.3325;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;53.0;0;6.553933404025811;0.0;0;0;0;1
Audemars Piguet;Automatic;Titanium;Titanium;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;39825.0;Item is in stock;Circular;692.37;Sapphire crystal;Grey;Black;2.0;48.0;0;1;1;4.0;4.0;1;10.592275244318621;0.6666666666666666;3;0;0;0
Bulova;Automatic;Steel;Leather;1974.0;Used (Fair);No original box, no original papers;Men's watch/Unisex;385.0;Item is in stock;Rectangular;1443.0;Sapphire crystal;Brown;Black;580.0;419.0;0;0;0;448.0;52.0;0;5.955837369464831;0.0;0;0;0;1
Philip Watch;Automatic;Yellow gold;Leather;2013.0;Like new & unworn;No original box, no original papers;Men's watch/Unisex;1718.0;Item is in stock;Circular;566.77;Sapphire crystal;Champagne;Brown;580.0;419.0;0;0;0;448.0;13.0;1;7.449498005382849;0.0;0;0;0;1
Romain Jerome;Automatic;Steel;Rubber;2012.0;Used (Very good);Original box, original papers;Men's watch/Unisex;4294.0;Item is in stock;Circular;830.5300000000001;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;14.0;1;8.365206834418355;0.0;3;0;0;1
Swatch;Quartz;Plastic;Silicon;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;163.0;Item is in stock;Circular;867.0325;Sapphire crystal;White;Black;580.0;419.0;0;0;0;448.0;3.0;1;5.099866427824199;0.0;3;0;0;1
A. Lange & Söhne;Manual winding;Rose gold;Leather;2013.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;16900.0;Item is in stock;Circular;508.68;Sapphire crystal;Silver;Black;1391.0;490.0;1;1;1;992.0;13.0;1;9.735128070758227;1.0;2;0;0;1
Paul Picot;Automatic;Steel;Steel;1990.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;972.0;Item is in stock;Rectangular;692.37;Mineral Glass;Black;Steel;99.0;121.0;1;1;1;98.0;36.0;0;6.880384082186005;1.0;0;0;0;0
Eterna;Manual winding;Steel;Leather;1940.0;Used (Good);No original box, no original papers;Men's watch/Unisex;5348.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;318.0;99.0;1;1;1;222.0;86.0;0;8.58466490653125;1.0;0;0;0;1
Girard Perregaux;Automatic;Steel;Steel;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;13000.0;Item is in stock;Circular;692.37;Sapphire crystal;Blue;Steel;46.0;41.0;1;1;1;48.0;4.0;1;9.472781556562168;1.0;3;0;0;1
Sicura;Quartz;Steel;Calf skin;1977.0;Like new & unworn;No original box, no original papers;Men's watch/Unisex;497.0;Item is in stock;Circular;525.7773000000001;Sapphire crystal;Champagne;Brown;2998.0;9673.0;1;1;1;2049.0;49.0;0;6.210600077024653;1.0;0;0;0;0
Zeppelin;Quartz;Steel;Leather;2022.0;New;Original box, original papers;Men's watch/Unisex;269.0;Item is in stock;Circular;659.7925;Mineral Glass;Grey;Brown;2328.0;2505.0;0;1;1;1742.0;4.0;1;5.598421958998375;0.6666666666666666;3;0;0;0
